date,index_close,foreign,foreign_dealer,trust,dealer_self,dealer_hedge,total,mtx_market_oi,mtx_retail_long,mtx_retail_short,mtx_retail_ratio,tmf_market_oi,tmf_retail_long,tmf_retail_short,tmf_retail_ratio
2026-05-21,41368.21,603.41,0.0,53.8,64.22,131.74,853.17,36212,28226,24250,10.98,57139,45493,41937,6.22
2026-05-22,42267.97,761.37,0.0,112.26,67.88,126.88,1068.39,36385,28356,24227,11.35,60378,46026,43484,4.21
2026-05-25,43644.4,494.59,0.0,84.14,44.75,24.12,647.61,38690,31074,23199,20.35,61974,47416,39771,12.34
2026-05-26,43525.37,354.36,0.0,53.82,18.77,30.33,457.29,39768,34659,20906,34.58,67426,57025,36595,30.3
2026-05-27,44256.8,381.28,0.0,-42.19,-5.7,-25.61,307.78,38166,31335,22810,22.34,63701,49695,40114,15.04
2026-05-28,43636.44,-381.37,0.0,-62.06,-47.33,-103.05,-593.81,41275,35899,25123,26.11,71273,64207,34142,42.18
2026-05-29,44732.94,801.45,0.0,70.18,28.65,127.42,1027.71,40488,33473,24473,22.23,64202,51354,42951,13.09
2026-06-01,45337.91,368.17,0.0,77.59,2.07,-67.16,380.67,42293,35717,22933,30.23,68186,52656,41631,16.17
2026-06-02,45557.31,108.43,0.0,28.2,-54.35,-103.33,-21.05,41141,36385,21781,35.5,72575,61060,37977,31.81
2026-06-03,46459.16,433.96,0.0,55.52,29.52,-3.55,515.45,40741,35410,24384,27.06,68252,54732,43110,17.03
2026-06-04,45677.46,-756.85,0.0,41.69,-29.73,-183.94,-928.83,43300,38521,22599,36.77,77898,68239,36928,40.19
2026-06-05,45070.94,-826.31,0.0,16.2,-72.81,-211.5,-1094.42,41954,38147,22532,37.22,86153,78435,31863,54.06
2026-06-08,43502.78,-938.52,0.0,87.76,-98.21,-393.25,-1342.23,39867,32703,22713,25.06,84772,71937,28605,51.12
2026-06-09,44704.44,-917.33,0.0,232.84,-51.23,-15.69,-751.42,39833,32629,22377,25.74,85036,64868,37804,31.83
2026-06-10,43225.54,-935.74,0.0,166.96,-78.73,-326.78,-1174.29,38816,29067,22132,17.87,88290,67854,35333,36.83
2026-06-11,43149.46,-357.79,0.0,132.45,7.29,-131.29,-349.35,38178,30400,20110,26.95,88651,67810,32804,39.49
2026-06-12,44169.04,286.9,0.0,142.33,28.4,61.03,518.66,39543,30270,20469,24.79,89869,63817,34971,32.1
2026-06-15,45396.99,465.32,0.0,64.44,64.89,60.35,655.0,37835,30092,16594,35.68,93282,60177,36690,25.18
2026-06-16,45809.19,407.98,0.0,118.24,34.1,26.78,587.11,42131,33249,17022,38.52,98388,66027,37284,29.21
2026-06-17,45877.39,-206.84,0.0,-2.06,18.77,-61.45,-251.59,38306,33732,23320,27.18,77991,72033,54085,23.01
2026-06-18,46465.2,211.47,0.0,-53.57,58.58,96.31,312.78,34258,28106,22434,16.56,56986,50523,38204,21.62
2026-06-22,47741.51,684.58,0.0,-105.18,33.41,87.63,700.43,38161,29766,26670,8.11,63281,49943,48880,1.68
2026-06-23,47100.65,-385.92,0.0,72.36,-26.4,-143.45,-483.41,39140,33354,21819,29.47,74062,67454,37385,40.6
2026-06-24,46043.6,-1774.03,0.0,33.0,-50.12,-314.74,-2105.9,42057,36777,28308,20.14,83634,77907,30673,56.48
2026-06-25,46255.26,-405.1,0.0,174.17,-22.54,-47.47,-300.94,41863,35879,29415,15.44,82129,76024,29306,56.88
2026-06-26,44571.76,-1431.89,0.0,101.03,-161.19,-546.15,-2038.2,42523,37344,30282,16.61,97506,89612,27373,63.83
2026-06-29,44999.9,-43.36,0.0,145.19,-19.74,-26.19,55.9,42584,34152,32886,2.97,86410,74787,34343,46.8
2026-06-30,46125.91,-5.09,0.0,3.65,41.89,103.96,144.41,44043,36165,33316,6.47,81036,67345,38124,36.06
2026-07-01,47018.99,323.76,0.0,156.03,-1.73,61.11,539.17,45658,37015,33502,7.69,80431,66929,36677,37.61
2026-07-02,46744.16,-890.47,0.0,99.56,11.0,-54.28,-834.19,44433,38204,30627,17.05,90874,76748,31825,49.43
2026-07-03,46780.62,-777.83,0.0,75.02,28.34,-60.93,-735.4,42318,36422,31113,12.55,90591,71296,40325,34.19
2026-07-06,46556.39,-255.04,0.0,71.63,0.77,-97.98,-280.62,42249,35482,30309,12.24,91559,71956,39168,35.81
2026-07-07,45479.11,-547.31,0.0,96.83,-126.1,-361.24,-937.82,43463,36901,29706,16.55,102231,87445,35185,51.12
2026-07-08,45734.41,-379.49,0.0,126.8,-33.43,-136.0,-422.11,42485,36537,27584,21.07,103435,87137,35767,49.66
